"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Delete a report (soft delete)","172","Delete Report","QA|Nova Bank - Infopool","Fri Sep 26 18:55:04 UTC 2025","broken","Fri Sep 26 18:55:04 UTC 2025","v1 > Report > Delete Report","Bank Admin","",""
"","170","No Auth - Add Comment to Issue","QA|Nova Bank - Infopool","Fri Sep 26 18:54:39 UTC 2025","broken","Fri Sep 26 18:54:39 UTC 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","171","No auth - Fetch sub-organizations of a parent organization","QA|Nova Bank - Infopool","Fri Sep 26 18:54:55 UTC 2025","broken","Fri Sep 26 18:54:55 UTC 2025","v1 > Organizations > Sub-organizations > Fetch sub-organizations","Bank Admin","",""
"","173","Create organization - no name","QA|Nova Bank - Infopool","Fri Sep 26 18:54:50 UTC 2025","broken","Fri Sep 26 18:54:50 UTC 2025","v1 > Organizations > Create organization","Bank Admin","",""
"","167","Fetch all users","QA|Nova Bank - Infopool","Fri Sep 26 18:54:47 UTC 2025","broken","Fri Sep 26 18:54:48 UTC 2025","v1 > Users > Fetch users","Bank Admin","",""
"","162","Add Comment to Issue","QA|Nova Bank - Infopool","Fri Sep 26 18:54:39 UTC 2025","broken","Fri Sep 26 18:54:39 UTC 2025","v1 > Customer 360 > Issues > add comment to an issue","Bank User","",""
"","166","Update profile - invalid phone number","QA|Nova Bank - Infopool","Fri Sep 26 18:54:33 UTC 2025","broken","Fri Sep 26 18:54:33 UTC 2025","v1 > Profile > Update profile","Bank User","",""
"","174","Send user invitation token - successful","QA|Nova Bank - Infopool","Fri Sep 26 18:54:35 UTC 2025","broken","Fri Sep 26 18:54:36 UTC 2025","v1 > Onboarding > Complete profile","Bank User","",""
"","170","No Auth - Fetch Customer Comments","QA|Nova Bank - Infopool","Fri Sep 26 18:54:41 UTC 2025","broken","Fri Sep 26 18:54:41 UTC 2025","v1 > Customer 360 > Comments > fetch customer comment","Bank User","",""
"","173","Invalid attachment id - Delete Attachment from Issue","QA|Nova Bank - Infopool","Fri Sep 26 18:54:40 UTC 2025","broken","Fri Sep 26 18:54:40 UTC 2025","v1 > Customer 360 > Issues > delete attachment to an issue","Bank User","",""
"Get a specific report by ID","161","Get Report by ID","QA|Nova Bank - Infopool","Fri Sep 26 18:55:02 UTC 2025","broken","Fri Sep 26 18:55:02 UTC 2025","v1 > Report > Get Report by Id","Bank Admin","",""
"","192","No email - Forgot Password","QA|Nova Bank - Infopool","Fri Sep 26 18:54:28 UTC 2025","broken","Fri Sep 26 18:54:28 UTC 2025","v1 > Auth > Forgot password > Initiate forget password","Bank User","",""
